Year,Row Labels,Average of Avg. Temperature in Kelvin,Average of SNOW Avg. Number of Pixels,Average of NDVI Avg. Number of pixel,ANNUAL NDVI,SEASONAL NDVI,SEASONAL SNOWCOVER
2001,January,271.344059,6790.325,9418.25,14225.59167,11208.575,6643.7125
2001,February,273.9136632,6497.1,12998.9,15296.25556,13899.31667,5613.083333
2001,March,277.3168512,6900.65,12748.55,14542.93333,15314.5,1361.6
2001,April,283.7967981,5850.5,13755.6,14660.37083,15663.68333,2879.972222
2001,May,290.6490878,4088.1,15193.8,14453.04167,15305.45556,7384.083333
2001,June,290.7548333,2491.05,14378.25,14805.175,13763.96667,6178.297222
2001,July,291.23104,945.45,15706.15,14765.35417,16161.73333,1463.875
2001,August,290.2684984,648.3,15859.1,14151.20833,15684.68333,3290.366667
2001,September,291.9447398,1379.375,16652.7,14747.3375,13470.91667,5046.491667
2001,October,287.9716831,2020.666667,15737.75,14824.20833,13583.75,6160.908334
2001,November,279.0535033,5239.875,14600.6,14437.82917,15688.93333,1242.175
2001,December,269.8247815,6346.625,13657.45,14060.50833,15664.76667,2423.666667
2002,January,268.0870534,7719.875,20947.91667,14523.8625,12822.45,6808.883333
2002,February,267.7377099,8085.75,11311,14391.0625,14351.08333,5255.955556
2002,March,276.9770144,7348.8,13008.3,14701.55417,16010.46667,1309.494444
2002,April,282.5856148,6362.266667,13517.75,14992.96667,15339.65,3877.677778
2002,May,288.7829108,4823.825,14765.85,14873.25,12332.2,6609.183333
2002,June,292.1955264,2560.725,15966,,13476.63333,6388.938889
2002,July,293.9464968,897.9333333,16465.1,,15626.36667,2235.816667
2002,August,290.1231026,932.9666666,16054.1,,16161.93333,2538.088889
2002,September,285.4344555,3045,16042.6,,13433.36667,5645.241667
2002,October,284.6882677,3328.325,15875.1,,14067.61667,5808.430556
2002,November,279.3021853,3497.775,15136.35,,16382.06667,1342.777778
2002,December,273.1494338,4263.55,14465,,15803.56667,2878.211111
2003,January,273.2032903,3343.775,14024.85,,13132.16667,6915.341667
2003,February,268.5243639,7532.15,11922.9,,13956.3,5775.369444
2003,March,275.4903317,6941.875,12817,,16114.31667,1405.805556
2003,April,282.4526726,6569.900001,13614.2,,15713.81667,2699.436111
2003,May,286.6767405,4970.95,14320.05,,12455.2,6415.525
2003,June,292.0531336,2332.55,15328.3,,13735.86667,5765.605555
2003,July,290.7979687,815.275,15836.6,,14588.56667,1189.647222
2003,August,290.3672734,578.7000001,15901.9,,15683.5,4091.308333
2003,September,289.5962827,1136.825,15860.4,,13507.1,6663.758333
2003,October,287.0935058,2214.35,16186.05,,13793.41667,5906.486111
2003,November,278.7269446,3919.825,14947.85,,16230.21667,2119.4
2003,December,269.3145402,5239.375,13755.1,,15576.05,4534.158333
2004,January,266.4955286,7200.55,12266.7,,13395.51667,6872.816667
2004,February,270.7901113,7986.725,12445.55,,14119.8,5763.547222
2004,March,282.1241055,5968.95,13833.65,,15658.08333,2405.55
2004,April,286.3816021,4982.866667,14056.9,,15855.11667,3749.591667
2004,May,290.1016461,4816.05,15162.7,,12922.86667,6437.683333
2004,June,291.7251691,2213.725,16091,,13709.98333,6197.841667
2004,July,292.3645325,890.325,15990.3,,15107.06667,2086.597222
2004,August,290.2564633,824.4333333,15950.1,,15993.15,2329.316667
2004,September,292.4595564,1152.808333,16653.6,,12493.33333,6075.05
2004,October,283.5329582,5639.025,14739.1,,13610.93333,5807.691667
2004,November,277.9698322,4841.2,14626.25,,14593.53333,1684.394445
2004,December,273.0675077,5171.325,14108.6,,15876.13333,2812.866667
2005,January,264.5406939,8282.1,11899.65,,12470.13333,7181.9
2005,February,266.8615672,6374.125,10988.35,,13810.3,6234.766667
2005,March,275.9315273,7410.6,12686.5,,15920.56667,2550.320833
2005,April,279.9529991,6409.666667,13418.7,,15736.75,2906.066667
2005,May,284.719351,5346.55,14324.7,,12708.81667,6717.125
2005,June,290.8649721,3711.125,14660.75,,13315.16667,6698.575
2005,July,289.8115671,1978.025,15375.35,,15742.5,2167.277778
2005,August,292.2086183,1018.3,16843,,15888.45,2546.225
